term,rel_poisson,rel_nb2,rel_ratio_nb_over_pois,se_poisson,se_quasi,se_nb2,z_poisson,z_quasi,z_nb2,p_poisson,p_quasi,p_nb2,sig_poisson_5pct,sig_quasi_5pct,sig_nb2_5pct
C(VehGas)[T.Regular],1.0800130082437724,1.0821716846009029,1.001998750330462,0.012662806687347823,0.01925540739425241,0.013060600309097623,6.078674944209647,3.9974789500806636,6.046417419684079,1.2117973291481121e-09,6.402068210631384e-05,1.4810208615045894e-09,True,True,True
C(Region)[T.Aquitaine],0.9320720412836239,0.9342585422158496,1.0023458497148081,0.10234254864014163,0.15562485604404064,0.1059803111565631,-0.6873501852741192,-0.4520175732681144,-0.6416481186196978,0.49186208096829453,0.6512563226413093,0.5211016824293835,False,False,False
C(Region)[T.Auvergne],0.7445934688490522,0.746815334182223,1.002983997880891,0.1272965704728731,0.19357061865245273,0.1312135337587299,-2.3167701049719622,-1.5235622585187834,-2.2249026146771067,0.02051625835315618,0.1276180971690506,0.026087776465428147,True,False,True
C(Region)[T.Basse-Normandie],1.0415773929642176,1.0481271200683615,1.0062882769426322,0.10743558541082589,0.16336946593304882,0.11124875645161744,0.3791694152122924,0.2493506841107473,0.422520465102608,0.70456206192156,0.8030895288611788,0.6726451662379578,False,False,False
C(Region)[T.Bourgogne],1.0537008282103646,1.0610903831911696,1.0070129535661043,0.10932780170759304,0.16624682137026797,0.11318846913933792,0.47845620974794845,0.3146440045827262,0.5238788301592731,0.632325534721772,0.7530319640287562,0.6003628199480433,False,False,False
C(Region)[T.Bretagne],1.1336116499732236,1.1412081426589433,1.0067011420409264,0.1002020195772459,0.1523699094778519,0.10382557705157672,1.2515584699854894,0.8230541498732268,1.2722055514193014,0.21073079549817963,0.41047720073043825,0.20330009570920282,False,False,False
C(Region)[T.Centre],1.1009949646201453,1.1095072027541089,1.0077314051448913,0.09876750135179,0.15018854214534474,0.10233789343707135,0.9741492186486544,0.6406233318159178,1.0154201124462239,0.3299824544044965,0.521767436930828,0.30990560979520065,False,False,False
C(Region)[T.Champagne-Ardenne],1.20372633793394,1.220779184750639,1.0141667140439647,0.13105993518351355,0.1992932931325851,0.13548809943988102,1.414788025928617,0.9303977271992729,1.4723752988509737,0.15713065593287534,0.3521651949065645,0.14091955967962,False,False,False
C(Region)[T.Corse],1.1636285870022343,1.1744119122076808,1.0092669820300881,0.12109816761519271,0.1841451591026685,0.12532350723542426,1.2514079943923293,0.8229551936004078,1.282820163604869,0.21078566207746774,0.41053347392851025,0.19955508819342738,False,False,False
C(Region)[T.Franche-Comte],0.8935277667699052,0.9011138757472006,1.0084900651769548,0.1797606968219557,0.2733489925452239,0.1849557139417571,-0.6262651983917163,-0.4118466558445792,-0.5629652578141343,0.531141009083087,0.680451822001644,0.5734585416395581,False,False,False
C(Region)[T.Haute-Normandie],0.904278947038886,0.9128307085245297,1.0094569950054095,0.11770749570036443,0.17898921139910745,0.12150571172249257,-0.8548087431123298,-0.5621422412447716,-0.7506218233700228,0.39265703717424216,0.5740191102256114,0.4528802835078052,False,False,False
C(Region)[T.Ile-de-France],0.9680878109659395,0.9781695254463393,1.01041404959984,0.10005550803983297,0.152147120059163,0.10366807421284924,-0.324144893643519,-0.21316527055792064,-0.21291304226666363,0.7458283399588219,0.8311980557851857,0.8313947893595182,False,False,False
C(Region)[T.Languedoc-Roussillon],0.960175181534636,0.9686357885549387,1.0088115243791036,0.10195967364705187,0.15504264594204317,0.10557488332975513,-0.39858435152782606,-0.2621184007514326,-0.30183884599251226,0.6901994938238742,0.7932301608655996,0.762774916311225,False,False,False
C(Region)[T.Limousin],1.207338444658734,1.2162660635352673,1.0073944625187983,0.12041916747513953,0.18311265306824076,0.12458742445824422,1.5646869871367508,1.0289747933474256,1.5714712998603613,0.11765632115966618,0.303491519902634,0.11607321579362218,False,False,False
C(Region)[T.Midi-Pyrenees],0.9064368624206451,0.9114188330791435,1.0054962136526464,0.10666879873007892,0.16220346930316884,0.11035616361145055,-0.920924414840401,-0.6056214547952787,-0.8404853288636458,0.35708989078824316,0.54476615208997,0.4006363241057511,False,False,False
C(Region)[T.Nord-Pas-de-Calais],0.9161708625411148,0.9225562969821387,1.006969698232176,0.10113404661174419,0.15378717507266296,0.10474196753894979,-0.8657064903224292,-0.5693088549353374,-0.7695757515784656,0.3866511398893837,0.569146558594444,0.4415515935005083,False,False,False
C(Region)[T.Pays-de-la-Loire],1.0282795576313033,1.033288993179581,1.0048716669616746,0.10084783479845973,0.15335195362437642,0.1044770228021017,0.27652624709257456,0.18185013379442957,0.31343649730672973,0.7821439029994399,0.8557003393291809,0.7539490593025859,False,False,False
C(Region)[T.Picardie],1.0948939313676,1.107250617874587,1.011285738419933,0.11117667847007517,0.1690582735358397,0.11514523237712161,0.8154362362072284,0.5362499589612825,0.8847958334358873,0.4148226495288345,0.5917858099607394,0.376266757082941,False,False,False
C(Region)[T.Poitou-Charentes],0.9735578571573725,0.9795853643389305,1.0061912162048152,0.10432204430803342,0.15863493086090555,0.10801513534063761,-0.25687786321108297,-0.16892889656917126,-0.19095374362916218,0.7972730598982276,0.8658525696560915,0.8485618334573206,False,False,False
C(Region)[T.Provence-Alpes-Cotes-D'Azur],0.9910165479310696,0.9963746866562111,1.0054067096420616,0.0992862801720504,0.15097741129404657,0.10286883005813063,-0.09088915971995837,-0.05977083922165425,-0.035306134188942954,0.9275806638302309,0.9523381509690416,0.9718356320064674,False,False,False
C(Region)[T.Rhone-Alpes],1.1008605061405616,1.1099322147161972,1.008240561383603,0.09895914882429298,0.1504799664914821,0.10254372157656362,0.9710284843329309,0.6385710638709469,1.0171168359479472,0.33153409437972137,0.523102010413494,0.3090978520737635,False,False,False
LogDensity,1.0285500119506141,1.0276119622956326,0.9990879882902315,0.014100438585448979,0.021441509461858722,0.01452976548723246,1.996395705328648,1.3128765530857558,1.8746088650703958,0.04589086791853347,0.1892245488489599,0.06084655269560679,True,False,False
